"GroupName","SamAccountName","GroupCount"
"Encrypt USB drives Group","Encrypt USB drives Group","4"
"Tremore Share Goup","Tremore Share Goup","2"
"HS CTSI riggs_nephroctomy_1310102307 Group","HS CTSI riggs_nephroctomy_1310102307 Group","5"
"HSC Cloud Storage General Exceptions","HSC Cloud Storage General Exceptions","0"
"4401-hpm452dn Group","4401-hpm452dn Group","7"
"g252-minolta-223","g252-minolta-223","7"
"HS CTSI Alzheimer_Geriatric Group","HS CTSI Alzheimer_Geriatric Group","6"
"8707-minolta-c368 Group","8707-minolta-c368 Group","35"
"WVSTEPS Screen Saver Exceptions","WVSTEPS Screen Saver Exceptions","23"
"HS CTSI bailey_osa_1705591902 Group","HS CTSI bailey_osa_1705591902 Group","1"
"HS CTSI lawrence_brain_injury_1711837874 Group","HS CTSI lawrence_brain_injury_1711837874 Group","6"
"HS CTSI mattes_mrn Group","HS CTSI mattes_mrn Group","0"
"3956-ricoh-sp6430dn Group","3956-ricoh-sp6430dn Group","51"
"WVUH Epic Physician Builders","WVUH Epic Physician Builders","25"
"HS CTSI kovacic_patient Group","HS CTSI kovacic_patient Group","1"
"SOD-CoDiagnostix","SOD-CoDiagnostix","16"
"4014-minolta-c3110 Group","4014-minolta-c3110 Group","11"
"MBRCC Hemonc Admin Traverse","MBRCC Hemonc Admin Traverse","4"
"g103l-minoltac368","g103l-minoltac368","43"
"HS VDI JThompson Test Project Group","HS VDI JThompson Test Project Group","2"
"HS CTSI marshall-miller-20180817 Group","HS CTSI marshall-miller-20180817 Group","1"
"Human Performance Advisors","Human Performance Advisors","11"
"HIIM Faculty","HIIM Faculty","4"
"Human Performance Share Traverse","Human Performance Share Traverse","2"
"HS VDI IBDSurvey Group","HS VDI IBDSurvey Group","1"
"RDTP-FAX Members","RDTP-FAX Members","32"
"its-rc-hsc-research-lab-bey","its-rc-hsc-research-lab-bey","2"
"4739-minolta-c258 Group","4739-minolta-c258 Group","Error Getting Group Count"
"Fuji-Synapse-Clinician-WVUM","Fuji-Synapse-Clinician-WVUM","1157"
"Fuji-Synapse-Radiologist-RUBY","Fuji-Synapse-Radiologist-RUBY","14"
"Fuji-Synapse-Technologist-RUBY","Fuji-Synapse-Technologist-RUBY","12"
"Facilities Access Share","Facilities Access Share","8"
"HSC Facilities Share Traverse","HSC Facilities Share Traverse","1"
"its-rc-hsc-research-admin","its-rc-hsc-research-admin","6"
"its-rc-hsc-research-lab-cifarelli","its-rc-hsc-research-lab-cifarelli","5"
"its-rc-hsc-research-lab-davis","its-rc-hsc-research-lab-davis","4"
"its-rc-hsc-research-lab-guo","its-rc-hsc-research-lab-guo","5"
"its-rc-hsc-research-lab-ivanov","its-rc-hsc-research-lab-ivanov","3"
"its-rc-hsc-research-lab-junliu","its-rc-hsc-research-lab-junliu","4"
"its-rc-hsc-research-lab-klinke","its-rc-hsc-research-lab-klinke","13"
"its-rc-hsc-research-lab-lockman","its-rc-hsc-research-lab-lockman","30"
"its-rc-hsc-research-lab-ma","its-rc-hsc-research-lab-ma","5"
"its-rc-hsc-research-lab-martinez","its-rc-hsc-research-lab-martinez","8"
"its-rc-hsc-research-lab-petros","its-rc-hsc-research-lab-petros","3"
"its-rc-hsc-research-lab-ruppert","its-rc-hsc-research-lab-ruppert","3"
"HS VDI Thompson_IBD_1712897991 Group","HS VDI Thompson_IBD_1712897991 Group","4"
"its-rc-hsc-research-lab-hazlehurst","its-rc-hsc-research-lab-hazlehurst","4"
"its-rc-hsc-research-lab-weed","its-rc-hsc-research-lab-weed","4"
"its-rc-hsc-research-lab-frisch","its-rc-hsc-research-lab-frisch","7"
"its-rc-hsc-research-lab-gibson","its-rc-hsc-research-lab-gibson","9"
"7603-ricoh-mp-c307 Group","7603-ricoh-mp-c307 Group","10"
"HS CTSI Thompson_IBD_1712897991 Group","HS CTSI Thompson_IBD_1712897991 Group","4"
"HS CTSI 1708700625  Group","HS CTSI 1708700625  Group","3"
"MBRCC Development group","MBRCC Development group","9"
"RDSH RDP","RDSH RDP","859"
"SSH SFTP Allow Grp","SSH SFTP Allow Grp","1"
"WVUH Mobility Users","WVUH Mobility Users","1416"
"HS VDI PrescribingHabitsInTreatmentOfCarotidAndVertebra Group","HS VDI PrescribingHabitsInTreatmentOfCarotidAndVertebra Group","2"
"Fuji-CV-Referring Physician-RUBY","Fuji-CV-Referring Physician-RUBY","5"
"Fuji-CV-Reading Physician-RUBY","Fuji-CV-Reading Physician-RUBY","8"
"WVUH Orthoview App","WVUH Orthoview App","20"
"g214-hpljp255dn Group","g214-hpljp255dn Group","20"
"4411-minolta-c258 Group","4411-minolta-c258 Group","11"
"erma309-minolta-c3110 Group","erma309-minolta-c3110 Group","29"
"its-rc-hsc-research-imaging-AMIF","its-rc-hsc-research-imaging-AMIF","42"
"8505c-lexmark-ms811n Group","8505c-lexmark-ms811n Group","3"
"its-rc-hsc-research-imaging","its-rc-hsc-research-imaging","14"
"HS VDI Virginia Dept of Health Data","HS VDI Virginia Dept of Health Data","1"
"1080 Clinic Accounts","1080 Clinic Accounts","10"
"1080-Minolta-364e Group","1080-Minolta-364e Group","4"
"its-rc-hsc-research-imaging-MIF","its-rc-hsc-research-imaging-MIF","101"
"Admin Conditional Access Policy Group","Admin Conditional Access Policy Group","609"
"SOD Conditional Access Policy Group","SOD Conditional Access Policy Group","265"
"4615-minoltac3551 Group","4615-minoltac3551 Group","2"
"HS CTSI rudisill_1610302054 Group","HS CTSI rudisill_1610302054 Group","2"
"its-rc-hsc-research-lab-devries-nelson","its-rc-hsc-research-lab-devries-nelson","7"
"HSC COA CSC","HSC COA CSC","1"
"SPH OLLI External Users","SPH OLLI External Users","1"
"its-rc-hsc-research-imaging-AMIF-admin","its-rc-hsc-research-imaging-AMIF-admin","12"
"its-rc-hsc-research-imaging-MIF-admin","its-rc-hsc-research-imaging-MIF-admin","11"
"its-rc-hsc-research-lab-agazie","its-rc-hsc-research-lab-agazie","5"
"its-rc-hsc-research-lab-agmon","its-rc-hsc-research-lab-agmon","7"
"its-rc-hsc-research-lab-alway","its-rc-hsc-research-lab-alway","7"
"its-rc-hsc-research-lab-barnett","its-rc-hsc-research-lab-barnett","7"
"its-rc-hsc-research-lab-berrebi","its-rc-hsc-research-lab-berrebi","2"
"its-rc-hsc-research-lab-bryner","its-rc-hsc-research-lab-bryner","6"
"its-rc-hsc-research-lab-charon","its-rc-hsc-research-lab-charon","4"
"its-rc-hsc-research-lab-cuff","its-rc-hsc-research-lab-cuff","2"
"its-rc-hsc-research-lab-damron","its-rc-hsc-research-lab-damron","7"
"its-rc-hsc-research-lab-dawson","its-rc-hsc-research-lab-dawson","3"
"its-rc-hsc-research-lab-dey","its-rc-hsc-research-lab-dey","3"
"its-rc-hsc-research-lab-dietz","its-rc-hsc-research-lab-dietz","10"
"its-rc-hsc-research-lab-du","its-rc-hsc-research-lab-du","10"
"its-rc-hsc-research-lab-eubank","its-rc-hsc-research-lab-eubank","7"
"its-rc-hsc-research-lab-famouri","its-rc-hsc-research-lab-famouri","2"
"its-rc-hsc-research-lab-gallagher","its-rc-hsc-research-lab-gallagher","5"
"its-rc-hsc-research-lab-geldenhuys","its-rc-hsc-research-lab-geldenhuys","8"
"its-rc-hsc-research-lab-goodman","its-rc-hsc-research-lab-goodman","12"
"its-rc-hsc-research-lab-hileman","its-rc-hsc-research-lab-hileman","14"
"its-rc-hsc-research-lab-hollander","its-rc-hsc-research-lab-hollander","10"
"its-rc-hsc-research-lab-huber","its-rc-hsc-research-lab-huber","9"
"its-rc-hsc-research-lab-hussain","its-rc-hsc-research-lab-hussain","4"
"annex118-minolta-c3110 Group","annex118-minolta-c3110 Group","7"
"its-rc-hsc-research-lab-kelly","its-rc-hsc-research-lab-kelly","4"
"its-rc-hsc-research-lab-Kolandaivelu","its-rc-hsc-research-lab-Kolandaivelu","5"
"its-rc-hsc-research-lab-leonardi","its-rc-hsc-research-lab-leonardi","8"
"its-rc-hsc-research-lab-Konat","its-rc-hsc-research-lab-Konat","3"
"its-rc-hsc-research-lab-kovinich","its-rc-hsc-research-lab-kovinich","3"
"its-rc-hsc-research-lab-li","its-rc-hsc-research-lab-li","3"
"its-rc-hsc-research-lab-lindsey","its-rc-hsc-research-lab-lindsey","6"
"its-rc-hsc-research-lab-liu","its-rc-hsc-research-lab-liu","4"
"its-rc-hsc-research-lab-mathers","its-rc-hsc-research-lab-mathers","3"
"its-rc-hsc-research-lab-lukomski","its-rc-hsc-research-lab-lukomski","5"
"its-rc-hsc-research-lab-mathew","its-rc-hsc-research-lab-mathew","4"
"its-rc-hsc-research-lab-mears","its-rc-hsc-research-lab-mears","4"
"its-rc-hsc-research-lab-mustafa","its-rc-hsc-research-lab-mustafa","2"
"its-rc-hsc-research-lab-olfert","its-rc-hsc-research-lab-olfert","7"
"its-rc-hsc-research-lab-pistilli","its-rc-hsc-research-lab-pistilli","12"
"its-rc-hsc-research-lab-pei","its-rc-hsc-research-lab-pei","7"
"its-rc-hsc-research-lab-rajendran","its-rc-hsc-research-lab-rajendran","9"
"its-rc-hsc-research-lab-ren","its-rc-hsc-research-lab-ren","5"
"its-rc-hsc-research-lab-ramamurthy","its-rc-hsc-research-lab-ramamurthy","14"
"its-rc-hsc-research-lab-ressetar","its-rc-hsc-research-lab-ressetar","3"
"its-rc-hsc-research-lab-rojanasakull","its-rc-hsc-research-lab-rojanasakull","5"
"its-rc-hsc-research-lab-robinson","its-rc-hsc-research-lab-robinson","6"
"its-rc-hsc-research-lab-salm","its-rc-hsc-research-lab-salm","1"
"its-rc-hsc-research-lab-schaller","its-rc-hsc-research-lab-schaller","2"
"its-rc-hsc-research-lab-siderovski","its-rc-hsc-research-lab-siderovski","4"
"its-rc-hsc-research-lab-schreurs","its-rc-hsc-research-lab-schreurs","4"
"its-rc-hsc-research-lab-simpskins","its-rc-hsc-research-lab-simpskins","9"
"its-rc-hsc-research-lab-sokolov","its-rc-hsc-research-lab-sokolov","4"
"its-rc-hsc-research-lab-spirou","its-rc-hsc-research-lab-spirou","5"
"its-rc-hsc-research-lab-sivaramakrishnan","its-rc-hsc-research-lab-sivaramakrishnan","3"
"its-rc-hsc-research-lab-stoilov","its-rc-hsc-research-lab-stoilov","5"
"its-rc-hsc-research-lab-tucker","its-rc-hsc-research-lab-tucker","14"
"its-rc-hsc-research-lab-benedito","its-rc-hsc-research-lab-benedito","5"
"its-rc-hsc-research-lab-bennewitz","its-rc-hsc-research-lab-bennewitz","7"
"its-rc-hsc-research-lab-rosen","its-rc-hsc-research-lab-rosen","9"
"its-rc-hsc-research-lab-yu","its-rc-hsc-research-lab-yu","6"
"its-rc-hsc-research-lab-hyu","its-rc-hsc-research-lab-hyu","3"
"SON Conditional Access Policy Group","SON Conditional Access Policy Group","119"
"its-rc-hsc-research-lab-chantler","its-rc-hsc-research-lab-chantler","5"
"its-rc-hsc-research-lab-dental","its-rc-hsc-research-lab-dental","4"
"its-rc-hsc-research-lab-kasson","its-rc-hsc-research-lab-kasson","2"
"its-rc-hsc-research-lab-kijimoto","its-rc-hsc-research-lab-kijimoto","4"
"4086-minolta-c368","4086-minolta-c368","Error Getting Group Count"
"its-rc-hsc-research-lab-seftor","its-rc-hsc-research-lab-seftor","3"
"its-rc-hsc-research-lab-mishra","its-rc-hsc-research-lab-mishra","4"
"Yulab","Yulab","2"
"its-rc-hsc-research-lab-wan","its-rc-hsc-research-lab-wan","10"
"HS CTSI lastinger_data Group","HS CTSI lastinger_data Group","1"
"its-rc-hsc-research-imaging-PTMCF-Admin","its-rc-hsc-research-imaging-PTMCF-Admin","6"
"its-rc-hsc-research-imaging-PTMCF-Users","its-rc-hsc-research-imaging-PTMCF-Users","1"
"RDSH Word 2016","RDSH Word 2016","Error Getting Group Count"
"HSC Admins","HSC Admins","0"
"SOP Conditional Access Policy Group","SOP Conditional Access Policy Group","143"
"CHSC Conditional Access Policy Group","CHSC Conditional Access Policy Group","479"
"4103-minolta4700 Group","4103-minolta4700 Group","Error Getting Group Count"
"HSC CED PBS Share Group","HSC CED PBS Share Group","11"
"HSC CED Share Traverse Group","HSC CED Share Traverse Group","1"
"SOM Conditional Access Policy Group","SOM Conditional Access Policy Group","2271"
"BASSCI Conditional Access Policy Group","BASSCI Conditional Access Policy Group","223"
"4627-hp4100 Group","4627-hp4100 Group","1"
"File-H-Ruby-Forensics","File-Forensics","9"
"VP Executive Recruitment Folder RW Group","VP Executive Recruitment Folder RW Group","0"
"MBRCC Conditional Access Policy Group","MBRCC Conditional Access Policy Group","137"
"RDSH Systems Servers","RDSH Systems Servers","19"
"SPH Conditional Access Policy Group","SPH Conditional Access Policy Group","193"
"HSC DropBox Exceptions","HSC DropBox Exceptions","65"
"HS CTSI eicher_joint_1806162146 Group","HS CTSI eicher_joint_1806162146 Group","4"
"HS-Research Drive Mapping","HS-Research Drive Mapping","2"
"Software-MModal10.0.547-F","Software-MModal10.0.547-F","23"
"Software-Office2016_X64-A","Software-Office2016_X64-A","2"
"Software-Office2016_X64-F","Software-Office2016_X64-F","0"
"Software-RStudio-A","Software-RStudio-A","2"
"Software-VisioPro2016_X86-F","Software-VisioPro2016_X86-F","0"
"Micro Network USB Share","Micro Network USB Share","1"
"SOM Med Hospitalist RW Group","SOM Med Hospitalist RW Group","1"
"Software-VisioPro2016_x64-A","Software-VisioPro2016_x64-A","2"
"HS CTSI chattha_1808260662 Group","HS CTSI chattha_1808260662 Group","4"
"HS CTSI bryan_hepc_1804059665 Group","HS CTSI bryan_hepc_1804059665 Group","2"
"HSC MBAM Compliance and Audit Group RO","HSC MBAM Compliance and Audit Group RO","0"
"Software-R-A","Software-R-A","2"
"HS VDI delirium Group","HS VDI delirium Group","4"
"Software-R-F","Software-R-F","1"
"RDSH Adobe Acrobat Reader","RDSH Adobe Acrobat Reader","15"
"RDSH Chrome CODA","RDSH Chrome CODA","130"
"Software-Firefox_52.0ESR_(x86)-A","Software-Firefox_52.0ESR_(x86)-A","1"
"SPH P&T Admin","SPH P&T Admin","1"
"Software-RStudio-F","Software-RStudio-F","5"
"RDSH Excel 2016","RDSH Excel 2016","238"
"Audiology","Audiology","109"
"RDSH HearForm Audiology","RDSH HearForm Audiology","3"
"RDSH Adobe Acrobat DC","RDSH Adobe Acrobat DC","8"
"RDSH IE CODA","RDSH IE CODA","4"
"RDSH IE","RDSH IE","293"
"RDSH PowerPoint 2016","RDSH PowerPoint 2016","234"
"RDSH IE WVU","RDSH IE WVU","30"
"HS CTSI finch_1803052082","HS CTSI finch_1803052082","4"
"HS CTSI peasak_mastectomy_1809277420","HS CTSI peasak_mastectomy_1809277420","0"
"HS CTSI Ubolrat_1703528067","HS CTSI Ubolrat_1703528067","4"
"Audiology Noah Group","Audiology Noah Group","21"
"Audiology Hearform Group","Audiology Hearform Group","152"
"HSC Audiology CSC","HSC Audiology CSC","7"
"MBAMAdvHelpDsk","MBAMAdvHelpDsk","3"
"RDSH Noah Test","RDSH Noah Test","0"
"RDSH HearForm Test","RDSH HearForm Test","1"
"File-H-Ruby-IOP","File-H-Ruby-IOP","3"
"RDSH Noah","RDSH Noah","3"
"HS CTSI danielson_data Group","HS CTSI danielson_data Group","2"
"WVUH Epic ACEs","WVUH Epic ACEs","93"
"RDSH Notepad","RDSH Notepad","0"
"RDSH Calculator","RDSH Calculator","0"
"erma-149-minolta-c3110 Group","erma-149-minolta-c3110 Group","11"
"ITSWeb Elevated Accounts","ITSWeb Elevated Accounts","2"
"crh-137-brother2270dw","crh-137-brother2270dw","0"
"ced-231-brother-mfc-9460cdn Group","ced-231-brother-mfc-9460cdn Group","0"
"Affiliation Agreements Database Group","Affiliation Agreements Database Group","8"
"Windows Hello for Business Group","Windows Hello for Business Group","2"
"Software-MModal10.0.547-A","Software-MModal10.0.547-A","13"
"HS VDI polypharm Group","HS VDI polypharm Group","3"
"Software-Panopto-F","Software-Panopto-F","1"
"WVUH CPN Connect App","WVUH CPN Connect App","23"
"HS VDI Weight Gain in Children after Surgery for OSA Faculty","HS VDI Weight Gain in Children after Surgery for OSA Faculty","1"
"1310-ricoh-mpc6004 Group","1310-ricoh-mpc6004 Group","14"
"HS CTSI nguyen_1809264568 Group","HS CTSI nguyen_1809264568 Group","0"
"Human Performance Shared Folder Group","Human Performance Shared Folder Group","2"
"residents-file","residents-file","0"
"allen-801a-minolta Group","allen-801a-minolta Group","0"
"allen-801c-minolta Group","allen-801c-minolta Group","0"
"percival-350c-minolta Group","percival-350c-minolta Group","0"
"1146-minolta-c3110 Group","1146-minolta-c3110 Group","13"
"Large Clinic Computer Group","Large Clinic Computer Group","75"
"Software-EstimateCopy-F","Software-EstimateCopy-F","0"
"Software-MicrosoftOffice2016(X86)_DentistryBuild-F","Software-MicrosoftOffice2016(X86)_DentistryBuild-F","0"
"Software-MicrosoftOffice2016(X86)_DentistryBuild-A","Software-MicrosoftOffice2016(X86)_DentistryBuild-A","0"
"Software-MiPacs Plugin-Carestream Viewer-A","Software-MiPacs Plugin-Carestream Viewer-A","0"
"Software-MiPacs Plugin-Carestream Viewer-F","Software-MiPacs Plugin-Carestream Viewer-F","0"
"Software-MiPacs Plugin-Imaging Link-F","Software-MiPacs Plugin-Imaging Link-F","0"
"Software-MiPacs Plugin-Imaging Link-A","Software-MiPacs Plugin-Imaging Link-A","0"
"Software-MiPacs Plugin-Manual Import-F","Software-MiPacs Plugin-Manual Import-F","0"
"Software-MiPacs Plugin-Manual Import-A","Software-MiPacs Plugin-Manual Import-A","0"
"Software-MiPacs Plugin-SoPro-F","Software-MiPacs Plugin-SoPro-F","0"
"Software-MiPacs Plugin-SoPro-A","Software-MiPacs Plugin-SoPro-A","0"
"Software-MiPacs Plugin-Video Plugin-F","Software-MiPacs Plugin-Video Plugin-F","0"
"HS CTSI bramer_1809266057 Group","HS CTSI bramer_1809266057 Group","7"
"Software-MiPacs Plugin-Video Plugin-A","Software-MiPacs Plugin-Video Plugin-A","0"
"CRH1-HP2600n-Intern-office Group","CRH1-HP2600n-Intern-office Group","4"
"CRH1-HP-P2015-Case-Managers Group","CRH1-HP-P2015-Case-Managers Group","8"
"1065-minolta-c3110 Group","1065-minolta-c3110 Group","4"
"HSC Surgery ERAS","HSC Surgery ERAS","0"
"Endocrinology Share Group","Endocrinology Share Group","10"
"SServices Share Traverse","SServices Share Traverse","Error Getting Group Count"
"HS CTSI thompson_pneumonia_1810305804 Group","HS CTSI thompson_pneumonia_1810305804 Group","2"
"MLS Applications Group","MLS Applications Group","15"
"HS VDI abaus_medicaid_claims Group RO","HS VDI abaus_medicaid_claims Group RO","2"
"Ortho-Residency Share Group","Ortho-Residency Folder Share Group","1"
"ced-reception-minolta-c3110 Group","ced-reception-minolta-c3110 Group","1"
"CED CODA Group","CED CODA Group","147"
"HSC Box Exceptions","HSC Box Exceptions","58"
"IMMB Group","IMMB Group","6"
"RDSH Access","RDSH Access","13"
"RDSH SON Access Database","RDSH SON Access Database","2"
"MBRCC CTRU IRB View Only","MBRCC CTRU IRB View Only","0"
"All Horizon View Users","All Horizon View Users","1"
"RDSH Axium Training","RDSH Axium Training","164"
"HSC Telepsychiatry","HSC Telepsychiatry","4"
"1080 Computer Printer Group","1080 Computer Printer Group","12"
"jthompson Research Faculty","jthompson Research Faculty","2"
"jthompson Research Students","jthompson Research Students","185"
"RDSH servers","RDSH Secure servers","3"
"Software-Sophos-F","Software-Sophos-F","13"
"ROLE_LEM_GUESTS","ROLE_LEM_GUESTS","19"
"jthompson Polypharm","jthompson Polypharm","5"
"jthompson IVDUtrends","jthompson IVDUtrends","3"
"jthompson pneumoMICU","jthompson pneumoMICU","8"
"jthompson INandOUTS","jthompson INandOUTS","2"
"Urology Training","Urology Training","5"
"Software-ClassroomSupport-F","Software-ClassroomSupport-F","0"
"HS VDI BedsideUltrasoundInDiagnosingAppendicitis Faculty Group","HS VDI BedsideUltrasoundInDiagnosingAppendicitis Faculty Group","1"
"HS VDI BedsideUltrasoundInDiagnosingAppendicitis Student Group","HS VDI BedsideUltrasoundInDiagnosingAppendicitis Student Group","2"
"HS VDI Planned upgrades to the Intensive care unit Faculty Group","HS VDI Planned upgrades to the Intensive care unit Faculty Group","2"
"HS VDI Planned upgrades to the Intensive care unit Student Group","HS VDI Planned upgrades to the Intensive care unit Student Group","1"
"WVUH App-Vitrea","WVUH App-Vitrea","14"
"1065-minolta-c3110 Computer Printer Group","1065-minolta-c3110 Computer Printer Group","1"
"HS VDI RDSH Student Secure Parent","HS VDI RDSH Student Secure Parent","98"
"HS VDI RDSH Faculty Secure Parent","HS VDI RDSH Faculty Secure Parent","116"
"HS CTSI dietz_1808247337 Group","HS CTSI dietz_1808247337 Group","3"
"Default Start Page Computers","Default Start Page Computers","5"
"1097-Bizhub227 Computer Printer Group","1097-Bizhub227 Computer Printer Group","1"
"1055-RX Computer Printer Group","1055-RX Computer Printer Group","8"
"HS CTSI rudisill_alcohol_1712877935 Group","HS CTSI rudisill_alcohol_1712877935 Group","3"
"Software-NetFramework3.5-A","Software-NetFramework3.5-A","0"
"jthompson Research Admin","jthompson Research Admin","2"
"CEI-ALL","CEI-ALL","5"
"Software-Office2019_X64-A","Software-Office2019_X64-A","6"
"Extend Service Timeout Computer Group","Extend Service Timeout Computer Group","1"
"File-H-Ruby-Telepsych","File-H-Ruby-Telepsych","6"
"HSC Forensics Drive","HSC Forensics Drive","10"
"RDSH Secure Word","RDSH Secure Word","61"
"HS VDI OpioidUseTraumaPatientexperienceLongBoneFrac Faculty Grou","HS VDI OpioidUseTraumaPatientexperienceLongBoneFrac Faculty Group","2"
"HS VDI OpioidUseTraumaPatientexperienceLongBoneFrac Student Grou","HS VDI OpioidUseTraumaPatientexperienceLongBoneFrac Student Grou","0"
"1065-RX Computer Printer Group","1065-RX Computer Printer Group","4"
"RedCap Mgmt Group","RedCap Mgmt Group","15"
"HS VDI VTE in Pancreatitis Faculty Group","HS VDI VTE in Pancreatitis Faculty Group","1"
"Software-Forcepoint-F","Software-Forcepoint-F","423"
"HS CTSI Lucas_Prine_data Group","HS CTSI Lucas_Prine_data Group","1"
"HS CTSI vance_vets_1806172693 Group","HS CTSI vance_vets_1806172693 Group","1"
"HS VDI smoking_hip_1811341281 Group","HS VDI smoking_hip_1811341281 Group","5"
"HSC SOM MED Hospitalist Section","HSC SOM MED Hospitalist Section","Error Getting Group Count"
"HS VDI RelationBarrierstoCaretoComplicationsHPB Student","HS VDI RelationBarrierstoCaretoComplicationsHPB Student","0"
"HS VDI Tranexamic Acid Reduces the Rate Faculty","HS VDI Tranexamic Acid Reduces the Rate Faculty","3"
"RedCap Faculty and Staff Group","RedCap Faculty and Staff Group","219"
"RedCap Students and External Users Group","RedCap Students and External Users Group","572"
"RDSH Secure Excel","RDSH Secure Excel","224"
"HS VDI RelationBarrierstoCaretoComplicationsHPB Faculty","HS VDI RelationBarrierstoCaretoComplicationsHPB Faculty","2"
"HS VDI VTE in Pancreatitis Student Group","HS VDI VTE in Pancreatitis Student Group","1"
"HS VDI Tranexamic Acid Reduces the Rate Student","HS VDI Tranexamic Acid Reduces the Rate Student","3"
"0232 Clinic Secure Share","0232 Clinic Secure Share","0"
"1833-minolta-c3100p Group","1833-minolta-c3100p Group","1"
"HS VDI IdentifyingPrePostSurgicalPredictors Faculty","HS VDI IdentifyingPrePostSurgicalPredictors Faculty","1"
"HS VDI IdentifyingPrePostSurgicalPredictors Students","HS VDI IdentifyingPrePostSurgicalPredictors Students","3"
"HS VDI LosstoFollowUpRescueReengagingBariatric Faculty","HS VDI LosstoFollowUpRescueReengagingBariatric Faculty","1"
"HS VDI LosstoFollowUpRescueReengagingBariatric Students","HS VDI LosstoFollowUpRescueReengagingBariatric Students","5"
"HS VDI Weight Gain in Children after Surgery for OSA Students","HS VDI Weight Gain in Children after Surgery for OSA Students","1"
"LeftoverRDPFolders","LeftoverRDPFolders","0"
"jthompson DeleriumCAM","jthompson DeleriumCAM","5"
"HSC Citrix Axium Group","HSC Citrix Axium Group","0"
"SPH Inventory RW","SPH Inventory RW","0"
"HS CTSI opioid_post_1705576046 Group","HS CTSI opioid_post_1705576046 Group","5"
"2235-minolta-c258 Group","2235-minolta-c258 Group","13"
"HS CTSI wagner_mews Group","HS CTSI wagner_mews Group","0"
"Encrypt USB Exceptions Group","Encrypt USB Exceptions Group","545"
"Software-VisioPro2016_x64-F","Software-VisioPro2016_x64-F","1"
"HS VDI WVU Office of Health Services Research","HS VDI WVU Office of Health Services Research","10"
"Software-VisioPro2016_X86-A","Software-VisioPro2016_X86-A","1"
"Memory after Gammaknife Share Group","Memory after Gammaknife Share Group","2"
"WVUH Wordpress Admins","WVUH Wordpress Admins","0"
"HS VDI SOD Orthodontic Phase 1 Faculty Group","HS VDI SOD Orthodontic Phase 1 Faculty Group","2"
"HS VDI SOD Orthodontic Phase 1 Student Group","HS VDI SOD Orthodontic Phase 1 Student Group","4"
"HS VDI Acute Pancreatitis Inter Group","HS VDI Acute Pancreatitis Inter Group","5"
"b111-hp4100 Group","b111-hp4100 Group","1"
"b111-hp2600n Group","b111-hp2600n Group","1"
"HS VDI RDSH SOD Data Admins Group","HS VDI RDSH SOD Project Data Admins Group","3"
"HSC Ortho PC Dina Students","HSC Ortho PC Dina Students","2"
"Pathology WVUH share","Pathology WVUH share","0"
"Pathology hscfp share","Pathology hscfp share","0"
"Pathology Apps-Standrd","Pathology Apps-Standrd","0"
"GME Shared folder Group","GME Shared folder Group","12"
"HS VDI Epithelial_Ovarian_Cancer Group","HS VDI Epithelial_Ovarian_Cancer Group","1"
"Software-Office2019-A","Software-Office2019-A","10"
"2356-hplj4015","2356-hplj4015","5"
"WVUH App-CareWare","WVUH App-CareWare","0"
"ukbiobank RW","ukbiobank RW","1"
"HS VDI WVU Office of Health Services Research Harm Reduction","HS VDI WVU Office of Health Services Research Harm Reduction","3"
"HS CTSI Pseudomonas Group","HS CTSI Pseudomonas Group","0"
"Software-VisioO365-F","Software-VisioO365-F","0"
"Software-ProjectO365-F","Software-ProjectO365-F","0"
"Software-VisioO365-A","Software-VisioO365-A","1"
"Neusur CSC","Neusur CSC","1"
"HS VDI Pseudomonas Faculty","HS VDI Pseudomonas Faculty","1"
"Microsoft Visio","Microsoft Visio","21"
"1042-RX Computer Printer Group","1042-RX Computer Printer Group","2"
"ced-139-minolta-c3110 Group","ced-139-minolta-c3110 Group","1"
"HSC SNRCData","HSC SNRCData","0"
"RDSH Secure File Explorer","RDSH Secure File Explorer","29"
"HS VDI IncidenceRFVenousThrombosisAcutePancreatitis Student","HS VDI IncidenceRFVenousThrombosisAcutePancreatitis Student","1"
"HS VDI IncidenceRFVenousThrombosisAcutePancreatitis Faculty","HS VDI IncidenceRFVenousThrombosisAcutePancreatitis Faculty","1"
"g189-minolta-3100p Group","g189-minolta-3100p Group","3"
"its-rc-hsc-research-lab-barbiere","its-rc-hsc-research-lab-barbiere","2"
"its-rc-hsc-research-lab-Takbiri-Borujeni","its-rc-hsc-research-lab-Takbiri-Borujeni","2"
"its-rc-hsc-research-lab-robart","its-rc-hsc-research-lab-robart","3"
"HS VDI CTS Injection and Oral Steroids Faculty","HS VDI CTS Injection and Oral Steroids Faculty","3"
"HS VDI CTS Injection and Oral Steroids Student","HS VDI CTS Injection and Oral Steroids Student","6"
"HS VDI Epithelial Ovarian Cancer Risk for VTE Faculty","HS VDI Epithelial Ovarian Cancer Risk for VTE Faculty","0"
"HS VDI Epithelial Ovarian Cancer Risk for VTE Student","HS VDI Epithelial Ovarian Cancer Risk for VTE Student","1"
"HS VDI ASD BMI Grandparents Faculty","HS VDI ASD BMI Grandparents Faculty","1"
"HS VDI ASD BMI Grandparents Student","HS VDI ASD BMI Grandparents Student","0"
"HS VDI Endocarditis AATS Refresh Student","HS VDI Endocarditis AATS Refresh Student","0"
