"DistinguishedName","GroupCategory","GroupScope","Members","Name","ObjectClass","ObjectGUID","SamAccountName","SID"
"CN=DisabledRDPFolders,OU=Inactive Accounts,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","DisabledRDPFolders","group","177031e4-ec0e-46a0-a92a-c9bc2a2b20b8","DisabledRDPFolders","S-1-5-21-865322659-4255640127-3857865232-46120"
"CN=HS Protected Data Users Screensaver Group,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS Protected Data Users Screensaver Group","group","a3625149-b76c-4bf1-b880-61715fcac403","HS Protected Data Users Screensaver Group","S-1-5-21-865322659-4255640127-3857865232-76191"
"CN=HSC Casper Enrollment,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC Casper Enrollment","group","7e8316ca-459c-4fd4-9883-456b558bf007","HSC Casper Enrollment","S-1-5-21-865322659-4255640127-3857865232-77990"
"CN=HSC Surgery PC Billers,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC Surgery PC Billers","group","197f22fe-2494-4c05-9baa-625ed7fd472b","HSC Surgery PC Billers","S-1-5-21-865322659-4255640127-3857865232-33523"
"CN=HSRS-MBRCC-RW,OU=MBRCC Administrative,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSRS-MBRCC-RW","group","6145ee5a-c840-43b9-98f5-223ca2b8080e","HSRS-MBRCC-RW","S-1-5-21-865322659-4255640127-3857865232-36406"
"CN=3143-hp3505 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","3143-hp3505 Group","group","11f2d51e-ada9-4bcf-82a1-c6c99265a22a","3143-hp3505 Group","S-1-5-21-865322659-4255640127-3857865232-31408"
"CN=DentistryAll,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","DentistryAll","group","8def56f3-bf58-4c19-a4b7-f9317669da56","DentistryAll","S-1-5-21-865322659-4255640127-3857865232-81890"
"CN=ced-228-brother9460 Group,OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","ced-228-brother9460 Group","group","dc3b60f1-0481-4319-9451-1387c26cb948","ced-228-brother9460 Group","S-1-5-21-865322659-4255640127-3857865232-40249"
"CN=ced-208-hplj2491a Group,OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","ced-208-hplj2491a Group","group","82dd5d2c-b51c-4589-8848-34ed64bd244a","ced-208-hplj2491a Group","S-1-5-21-865322659-4255640127-3857865232-40268"
"CN=STC Dental Group Practice Group,OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","STC Dental Group Practice Group","group","9d4ef531-9aa8-4ca6-86ac-6aa9c268292c","STC Dental Group Practice Group","S-1-5-21-865322659-4255640127-3857865232-79298"
"CN=LDS Consultants Group,OU=RDTP,OU=BEHADPH,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","LDS Consultants Group","group","e0875da5-bc34-4dec-9bf2-b713364a6d6d","LDS Consultants Group","S-1-5-21-865322659-4255640127-3857865232-79607"
"CN=3145a-BrotherHL-2170W Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","3145a-BrotherHL-2170W Group","group","59b051ef-b995-45a4-a734-c576b3cf2298","3145a-BrotherHL-2170W Group","S-1-5-21-865322659-4255640127-3857865232-28551"
"CN=lawyer moves,OU=LEGAL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","lawyer moves","group","995e0f61-344c-4d6f-a818-563bb01ed8f4","lawyer moves","S-1-5-21-865322659-4255640127-3857865232-65128"
"CN=HS CTSI rosend_epidural_201708 Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS CTSI rosend_epidural_201708 Group","group","7959a708-f4b1-41af-ab21-ae020556e5c6","HS CTSI rosend_epidural_201708 Group","S-1-5-21-865322659-4255640127-3857865232-77592"
"CN=HS CTSI Post Operative Narcotic Prescriptions,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS CTSI Post Operative Narcotic Prescriptions","group","b7e9047d-1206-4c89-b589-86e38b062e8b","HS CTSI Post Operative Narcotic Prescriptions","S-1-5-21-865322659-4255640127-3857865232-79049"
"CN=HS CTSI mattes_prostate_cancer_20170907 Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS CTSI mattes_prostate_cancer_20170907 Group","group","ddbc46c5-a3d3-4322-9796-68d8c270d4a8","HS CTSI mattes_prostate_cancer_20170907 Group","S-1-5-21-865322659-4255640127-3857865232-80990"
"CN=HS CTSI 1611351417_EMR_Decrease_CT Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS CTSI 1611351417_EMR_Decrease_CT Group","group","64e256e9-eb4f-49a8-afd9-f65d2b183577","HS CTSI 1611351417_EMR_Decrease_CT Group","S-1-5-21-865322659-4255640127-3857865232-79355"
"CN=HS CTSI 1606146493_immune_stat_Ischemic_stroke Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS CTSI 1606146493_immune_stat_Ischemic_stroke Group","group","a2d10611-d92a-450f-92bb-67daf1dfb34f","HS CTSI 1606146493_immune_stat_Ischemic_stroke Group","S-1-5-21-865322659-4255640127-3857865232-79370"
"CN=SOD Front Desk Computers,OU=SOD,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SOD Front Desk Computers","group","38703a49-70a8-4172-b188-10dd7f6a9cc4","SOD Front Desk Computers","S-1-5-21-865322659-4255640127-3857865232-43212"
"CN=1144-hp5000 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1144-hp5000 Group","group","7fd7cb6b-08b7-4731-9843-ee2f14ec7ccb","1144-hp5000 Group","S-1-5-21-865322659-4255640127-3857865232-1254"
"CN=2914-hpljp2035n Group,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2914-hpljp2035n Group","group","60820e46-296d-40af-bd7e-5520d0323f9f","2914-hpljp2035n Group","S-1-5-21-865322659-4255640127-3857865232-46507"
"CN=3152-minolta-c224e Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","3152-minolta-c224e Group","group","28938833-6571-4370-9849-ebc0dd30549d","3152-minolta-c224e Group","S-1-5-21-865322659-4255640127-3857865232-32044"
"CN=HS CTSI 1603060897_MCARR_PATIENT Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS CTSI 1603060897_MCARR_PATIENT Group","group","582b914f-d2f4-454c-866a-b4119a63968a","HS CTSI 1603060897_MCARR_PATIENT Group","S-1-5-21-865322659-4255640127-3857865232-79395"
"CN=Web Library Group,OU=CE,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Web Library Group","group","d42ba042-7ddf-41b0-a877-6e37d8a82141","Web Library Group","S-1-5-21-865322659-4255640127-3857865232-67453"
"CN=WVCTSI Business Office Share,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","WVCTSI Business Office Share","group","2ade3b94-d78b-441a-821c-a03661e83b60","WVCTSI Business Office Share","S-1-5-21-865322659-4255640127-3857865232-60894"
"CN=WVU HR SOD,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","WVU HR SOD","group","692a0bf3-8d45-4d18-a806-ce9bcee811c2","WVU HR SOD","S-1-5-21-865322659-4255640127-3857865232-63214"
"CN=Huseynova-Long-Zhang Group,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Huseynova-Long-Zhang Group","group","60ec24a7-1c9c-4a3c-9382-a7ff3e2446e8","Huseynova-Long-Zhang Group","S-1-5-21-865322659-4255640127-3857865232-63211"
"CN=MBRCC CTSI Regulatory,OU=MBRCC SharePoint Groups,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","MBRCC CTSI Regulatory","group","77fc1529-2182-4d45-b157-456696df1123","MBRCC CTSI Regulatory","S-1-5-21-865322659-4255640127-3857865232-80982"
"CN=MBRCC PEDS Regulatory,OU=MBRCC SharePoint Groups,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","MBRCC PEDS Regulatory","group","6dbfea9f-d264-48da-bc95-0f48b17c9820","MBRCC PEDS Regulatory","S-1-5-21-865322659-4255640127-3857865232-80986"
"CN=United Bank IE Settings,OU=SOD,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","United Bank IE Settings","group","c1a21375-2ee1-4427-bbbe-304dedb93f1d","United Bank IE Settings","S-1-5-21-865322659-4255640127-3857865232-86307"
"CN=SOD Managed Host File Computer Group,OU=SOD,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SOD Managed Host File Computer Group","group","2ebea3b8-6545-4df4-a61a-b463dca90263","SOD Managed Host File Computer Group","S-1-5-21-865322659-4255640127-3857865232-57260"
"CN=g280a-minoltac25 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","g280a-minoltac25 Group","group","aba0fc19-c892-4a29-a099-13ccd8f6d995","g280a-minoltac25 Group","S-1-5-21-865322659-4255640127-3857865232-40265"
"CN=HSC SPH Share on WVU,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC SPH Share on WVU","group","92c90944-9530-45b3-bb9a-55d4a5ebf111","HSC SPH Share on WVU","S-1-5-21-865322659-4255640127-3857865232-46693"
"CN=Wellness Vendor Group,OU=WELLNESS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Wellness Vendor Group","group","29c0cfa9-ae9a-4e5e-ba35-79697cec920c","Wellness Vendor Group","S-1-5-21-865322659-4255640127-3857865232-59035"
"CN=HS Mipacs Users,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS Mipacs Users","group","8240f3e0-4490-4452-ae4a-927b033d5e4b","HS Mipacs Users","S-1-5-21-865322659-4255640127-3857865232-10260"
"CN=ROLE_LEM_CONTACTS,OU=KeyTab,OU=HS Resource Accounts,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","ROLE_LEM_CONTACTS","group","15fedff9-7e88-492f-aecc-6d322fa161f1","ROLE_LEM_CONTACTS","S-1-5-21-865322659-4255640127-3857865232-83186"
"CN=HS CTSI duckworth_rinovum_SSU00043581 Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS CTSI duckworth_rinovum_SSU00043581 Group","group","5576e7b8-d05d-41c9-bcb9-1d5480030e1f","HS CTSI duckworth_rinovum_SSU00043581 Group","S-1-5-21-865322659-4255640127-3857865232-83198"
"CN=HS CTSI petrone_tia_1606146493 Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS CTSI petrone_tia_1606146493 Group","group","b08e27db-6d47-4686-aa02-55e46eada1f3","HS CTSI petrone_tia_1606146493 Group","S-1-5-21-865322659-4255640127-3857865232-83223"
"CN=agmon-lab-test,OU=Resource Accounts,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","agmon-lab-test","group","ad88a229-33dc-4963-a4bd-43cffc8d7481","agmon-lab-test","S-1-5-21-865322659-4255640127-3857865232-86925"
"CN=H-HSC1-UROLOGY-LB Group,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","H-HSC1-UROLOGY-LB Group","group","742ecea5-c290-4f15-ab68-3d3fe28afc78","H-HSC1-UROLOGY-LB Group","S-1-5-21-865322659-4255640127-3857865232-83227"
"CN=SophosDomainUser,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SophosDomainUser","group","ebae974c-f471-4f56-8a5e-1d8944a1cd44","SophosDomainUser","S-1-5-21-865322659-4255640127-3857865232-88259"
"CN=SophosDomainPowerUser,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SophosDomainPowerUser","group","e23c5c67-7b92-4638-9057-ef3cffe7971a","SophosDomainPowerUser","S-1-5-21-865322659-4255640127-3857865232-88260"
"CN=SophosDomainAdministrator,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SophosDomainAdministrator","group","30670197-3382-4bf1-899c-6a957f126221","SophosDomainAdministrator","S-1-5-21-865322659-4255640127-3857865232-88261"
"CN=SophosOnAccess,CN=Users,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SophosOnAccess","group","5911081d-ec7f-4c61-8e81-24d66791113b","SophosOnAccess","S-1-5-21-865322659-4255640127-3857865232-92727"
"CN=icrc-22-minolta-c3100p Group,OU=ICRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","icrc-22-minolta-c3100p Group","group","f4f0bb72-172a-4f6e-80fd-815cd28325e9","icrc-22-minolta-c3100p Group","S-1-5-21-865322659-4255640127-3857865232-86949"
"CN=BPS Ryan Share,OU=BPS,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","BPS Ryan Share","group","af5adf6d-8589-4c1c-9b8d-eecba0896663","BPS Ryan Share","S-1-5-21-865322659-4255640127-3857865232-49614"
"CN=HS CTSI taylor_fammed_1801934426 Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS CTSI taylor_fammed_1801934426 Group","group","69e0b00f-59cc-41ad-aba9-dca7c7a5849d","HS CTSI taylor_fammed_1801934426 Group","S-1-5-21-865322659-4255640127-3857865232-95144"
"CN=HS CTSI welch_omalizumab_1708732365 Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS CTSI welch_omalizumab_1708732365 Group","group","c8fac0d7-2700-40f3-b76f-dfe708267926","HS CTSI welch_omalizumab_1708732365 Group","S-1-5-21-865322659-4255640127-3857865232-95301"
"CN=RetireeGroupTest2,OU=DeletedAccounts,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","RetireeGroupTest2","group","0f7bd7b5-19b8-4645-9fc5-5afe24bf8611","RetireeGroupTest2","S-1-5-21-865322659-4255640127-3857865232-91112"
"CN=RetireeGroupTest1,OU=DeletedAccounts,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","RetireeGroupTest1","group","b564b0cd-5f6f-4951-87e0-ff826cbb3445","RetireeGroupTest1","S-1-5-21-865322659-4255640127-3857865232-91111"
"CN=g166-ricoh-mp-c407 Printer Group,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","g166-ricoh-mp-c407 Printer Group","group","bc673291-07bb-4364-be61-090cfa661eb0","g166-ricoh-mp-c407 Printer Group","S-1-5-21-865322659-4255640127-3857865232-89102"
"CN=SOD SIMPLANT Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SOD SIMPLANT Group","group","d99a64ab-cac2-4360-b8c1-1c4796508be8","SOD SIMPLANT Group","S-1-5-21-865322659-4255640127-3857865232-81233"
"CN=HSC RDTP MTM Others,OU=RDTP,OU=BEHADPH,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC RDTP MTM Others","group","8ed12de9-540c-43c8-b9d6-a49f735fe5b0","HSC RDTP MTM Others","S-1-5-21-865322659-4255640127-3857865232-53585"
"CN=4742-hpcp3525,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","4742-hpcp3525","group","35235436-e011-4950-9296-89095c6bc8d5","4742-hpcp3525","S-1-5-21-865322659-4255640127-3857865232-33266"
"CN=CRH1-CommunityRelations Group,OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","CRH1-CommunityRelations Group","group","60d1802f-fe60-4d0a-b1c2-f12d76f86a78","CRH1-CommunityRelations Group","S-1-5-21-865322659-4255640127-3857865232-81254"
"CN=C8 Research Share Group,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","C8 Research Share Group","group","33cc5831-022c-4719-8de2-f3cc46f88c24","C8 Research Share Group","S-1-5-21-865322659-4255640127-3857865232-53115"
"CN=3618-hpljc4600 Group,OU=WVSTEPS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","3618-hpljc4600 Group","group","f2804ceb-0f18-4808-8a31-4204ba397d00","3618-hpljc4600 Group","S-1-5-21-865322659-4255640127-3857865232-39849"
"CN=brni-hpcp4025 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","brni-hpcp4025 Group","group","100be64b-9c09-4f46-8ae4-da4e9bb935b6","brni-hpcp4025 Group","S-1-5-21-865322659-4255640127-3857865232-96944"
"CN=SPHSecure Share,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SPHSecure Share","group","d78ea6fb-7101-46fc-8766-b1d1973cbb1c","SPHSecure Share","S-1-5-21-865322659-4255640127-3857865232-56130"
"CN=7318-cognitive-label-printer Group,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","7318-cognitive-label-printer Group","group","ac6b48af-d858-4cdf-bb32-9c79fe67f05f","7318-cognitive-label-printer Group","S-1-5-21-865322659-4255640127-3857865232-86976"
"CN=hsc3-ortho-lb Group,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","hsc3-ortho-lb Group","group","62a04956-daa0-4383-a515-55c294692cc5","hsc3-ortho-lb Group","S-1-5-21-865322659-4255640127-3857865232-88353"
"CN=7502-cognitive-label-printer Group,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","7502-cognitive-label-printer Group","group","e9e5ab79-8afb-43d3-b464-3651ea6225e5","7502-cognitive-label-printer Group","S-1-5-21-865322659-4255640127-3857865232-86975"
"CN=7400a-ricoh Default Printer Group,OU=EMMED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","7400a-ricoh Default Printer Group","group","09a2efd0-13b9-430f-b4c8-c742686c0ec5","7400a-ricoh Default Printer Group","S-1-5-21-865322659-4255640127-3857865232-97236"
"CN=1632-hp2055dn Group,OU=MBRCC Printers,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","1632-hp2055dn Group","group","52fddfd9-fa1a-47f9-9c3d-b982c32773bd","1632-hp2055dn Group","S-1-5-21-865322659-4255640127-3857865232-31708"
"CN=$VA,OU=VA,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","$VA","group","e975f0a3-97f3-4b9c-b332-a346696374c1","$VA","S-1-5-21-865322659-4255640127-3857865232-6696"
"CN=erma108-hplj-m252dw Group,OU=MICRO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","erma108-hplj-m252dw Group","group","1d07c564-18be-40cd-965d-de84d46729a1","erma108-hplj-m252dw Group","S-1-5-21-865322659-4255640127-3857865232-98127"
"CN=HSC Cloud Storage General Exceptions,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC Cloud Storage General Exceptions","group","d23ad7e6-4829-4e60-86b5-9aa1fd7d8ebd","HSC Cloud Storage General Exceptions","S-1-5-21-865322659-4255640127-3857865232-99734"
"CN=HS CTSI mattes_mrn Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Universal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HS CTSI mattes_mrn Group","group","c66bc733-3a02-43ea-b208-7d5cebfb7a22","HS CTSI mattes_mrn Group","S-1-5-21-865322659-4255640127-3857865232-100315"
"CN=HSC Admins,CN=Builtin,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","HSC Admins","group","74436a30-0b8f-4ecc-9019-6bb22764271d","HSC Admins","S-1-5-21-865322659-4255640127-3857865232-2635"
"CN=2271-toshiba2830c Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2271-toshiba2830c Group","group","47cc4433-4156-45af-9968-c8685cfd3ce8","2271-toshiba2830c Group","S-1-5-21-865322659-4255640127-3857865232-27804"
"CN=VP Executive Recruitment Folder RW Group,OU=VP,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","DomainLocal","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","VP Executive Recruitment Folder RW Group","group","714bb1d4-7ee6-4408-a016-702a323af607","VP Executive Recruitment Folder RW Group","S-1-5-21-865322659-4255640127-3857865232-98279"
"CN=Software-Office2016_X64-F,OU=SCCM Applications,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Security","Global","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Software-Office2016_X64-F","group","706f5f47-4df9-44fd-ac37-7d794ca36546","Software-Office2016_X64-F","S-1-5-21-865322659-4255640127-3857865232-103317"
