"GroupName","GroupSamAccountName","GroupDescription","GroupCategory","GroupScope","GroupSID","SIDHIstory","GroupOU","GroupDN"
"3143-hp3505 Group","3143-hp3505 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-31408","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=3143-hp3505 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"DentistryAll","DentistryAll",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-81890","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=DentistryAll,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1025-hpoj8630","1025-hpoj8630","Printer","Security","Global","S-1-5-21-865322659-4255640127-3857865232-49625","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1025-hpoj8630,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"b040-hpljm601 Group","b040-hpljm601 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-50504","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=b040-hpljm601 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4520b-hp4250 Group","4520b-hp4250 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-81689","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=4520b-hp4250 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2831-hpofficejet6700 Group","2831-hpofficejet6700 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-81688","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=2831-hpofficejet6700 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"7533-ricoh","7533-ricoh","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79042","","OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=7533-ricoh,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1814-dell2330dn Group","1814-dell2330dn Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-32969","","OU=MBRCC Printers,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1814-dell2330dn Group,OU=MBRCC Printers,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Biochem Office Admin","Biochem Office Admin",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-79046","","OU=BIOCHEM,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Biochem Office Admin,OU=BIOCHEM,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1409D-ricoh","1409D-ricoh","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79041","","OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1409D-ricoh,OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"BEHADPH Share Traverse Group","BEHADPH Share Traverse Group","Traverse File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-78067","","OU=BEHADPH,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=BEHADPH Share Traverse Group,OU=BEHADPH,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ced-228-brother9460 Group","ced-228-brother9460 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-40249","","OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=ced-228-brother9460 Group,OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ced-208-hplj2491a Group","ced-208-hplj2491a Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-40268","","OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=ced-208-hplj2491a Group,OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC ERP Share Group","HSC ERP Share Group","File Share","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-77494","","OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC ERP Share Group,OU=SOMDEAN,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"stc-dgp-minolta Group","stc-dgp-minolta Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-46239","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=stc-dgp-minolta Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC RDTP Server Admins","HSC RDTP Server Admins","Server Role Group","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79068","","OU=RDTP,OU=BEHADPH,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC RDTP Server Admins,OU=RDTP,OU=BEHADPH,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"erma370-hplj-cp5225dn Group","erma370-hplj-cp5225dn Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-78075","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=erma370-hplj-cp5225dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"stc-res-minolta363 Group","stc-res-minolta363 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-46221","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=stc-res-minolta363 Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Pediatric Cardiology RW Group","Pediatric Cardiology RW Group","Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-78077","","OU=PEDS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Pediatric Cardiology RW Group,OU=PEDS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MBAM Special Exceptions Group","MBAM Special Exceptions Group","MBAM","Security","Global","S-1-5-21-865322659-4255640127-3857865232-77422","","OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=MBAM Special Exceptions Group,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"IPPrinter Project Group","IPPrinter Project Group",,"Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79081","","OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=IPPrinter Project Group,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"STC-ORTHO-MINOLTAc224e","STC-ORTHO-MINOLTAc224e","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-43038","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=STC-ORTHO-MINOLTAc224e,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"brni-minolta-c3110 Group","brni-minolta-c3110 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79071","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=brni-minolta-c3110 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1003-bizhub4700p Group","1003-bizhub4700p Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79076","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1003-bizhub4700p Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"STC Dental Group Practice Group","STC Dental Group Practice Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-79298","","OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=STC Dental Group Practice Group,OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"BPS share Traverse Group","BPS share Traverse Group","Traverse File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79084","","OU=BPS,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=BPS share Traverse Group,OU=BPS,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1180B-RX Group","1180B-RX Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-80976","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1180B-RX Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1097-bizhub227 Group","1097-bizhub227 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79072","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1097-bizhub227 Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1065-RX Group","1065-RX Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-80978","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1065-RX Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Large Clinic Group","Large Clinic Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-79295","","OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Large Clinic Group,OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1055-RX Group","1055-RX Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-80975","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1055-RX Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Diagnostic Services Clinic Group","Diagnostic Services Clinic Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-79296","","OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Diagnostic Services Clinic Group,OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SOD Block Clinic Account Logon","SOD Block Clinic Account Logon",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-71491","","OU=SOD,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=SOD Block Clinic Account Logon,OU=SOD,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Nolan Database Remote Access","Nolan Database Remote Access","Application Access","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-80996","","OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Nolan Database Remote Access,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1420-bizhub350","1420-bizhub350","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-21452","","OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1420-bizhub350,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Pediatric Dentistry Clinic Group","Pediatric Dentistry Clinic Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-79292","","OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Pediatric Dentistry Clinic Group,OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1042-RX Group","1042-RX Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-80977","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=1042-RX Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MBRCC PEDS Admin","MBRCC PEDS Admin",,"Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-80983","","OU=MBRCC SharePoint Groups,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=MBRCC PEDS Admin,OU=MBRCC SharePoint Groups,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Orthodontics Clinic Group","Orthodontics Clinic Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-79297","","OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Orthodontics Clinic Group,OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Oral Surgery Clinic Group","Oral Surgery Clinic Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-79294","","OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Oral Surgery Clinic Group,OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Endodontics Clinic Group","Endodontics Clinic Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-79291","","OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Endodontics Clinic Group,OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Endodontics Residents Clinic Group","Endodontics Residents Clinic Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-79293","","OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Endodontics Residents Clinic Group,OU=SOD Clinic Accounts,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Xtra Admin Group","Xtra Admin Group","Building Access Control","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-47265","","OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Xtra Admin Group,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Collaboration RW group","Collaboration RW group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-79331","","OU=Desktop Support,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Collaboration RW group,OU=Desktop Support,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"SCCM Application Admins","SCCM Application Admins","SCCM","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-49207","","OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=SCCM Application Admins,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC Office 365 Video Admins","HSC Office 365 Video Admins","Application Role","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-54217","","OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC Office 365 Video Admins,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Sdavis VDI test","Sdavis VDI test","VDI","Security","Global","S-1-5-21-865322659-4255640127-3857865232-82435","","OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Sdavis VDI test,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Community Practice","Community Practice","Department Group","Security","Global","S-1-5-21-865322659-4255640127-3857865232-81007","","OU=Community Practice,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Community Practice,OU=Community Practice,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Infosec Folder RW Group","Infosec Folder RW Group","File Share","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79098","","OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Infosec Folder RW Group,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"$Community Practice","$Community Practice","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-81008","","OU=Community Practice,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=$Community Practice,OU=Community Practice,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC Test Mail Security Group","HSC Test Mail Security Group",,"Security","Universal","S-1-5-21-865322659-4255640127-3857865232-82430","","OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC Test Mail Security Group,OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"LDS Consultants Group","LDS Consultants Group",,"Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79607","","OU=RDTP,OU=BEHADPH,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=LDS Consultants Group,OU=RDTP,OU=BEHADPH,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HDPrinter Group","HDPrinter","Printer","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-1600","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HDPrinter Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Biochem Faculty Promotion and Tenure Group","Biochem Faculty Promotion and Tenure Group",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-81015","","OU=BIOCHEM,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Biochem Faculty Promotion and Tenure Group,OU=BIOCHEM,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Biochem Education Group","Biochem Education Group",,"Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79102","","OU=BIOCHEM,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Biochem Education Group,OU=BIOCHEM,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC MS Office 2007","HSC MS Office 2007","Application","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-8744","","OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC MS Office 2007,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"ITS Account Managers","ITS Account Managers","Role Group","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-21281","","OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=ITS Account Managers,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC BASSCI CSC Group","HSC BASSCI CSC Group","Departmental CSC","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-56237","","OU=CSC Groups,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC BASSCI CSC Group,OU=CSC Groups,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HSC Biochem CSC","HSC Biochem CSC","Departmental CSC","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-56238","","OU=CSC Groups,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HSC Biochem CSC,OU=CSC Groups,OU=HSC AD Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3145a-BrotherHL-2170W Group","3145a-BrotherHL-2170W Group","Printer","Security","Global","S-1-5-21-865322659-4255640127-3857865232-28551","","OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=3145a-BrotherHL-2170W Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"lawyer moves","lawyer moves",,"Security","Global","S-1-5-21-865322659-4255640127-3857865232-65128","","OU=LEGAL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=lawyer moves,OU=LEGAL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"erma2-240-minoltaC558 Group","erma2-240-minoltaC558 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79101","","OU=MBRCC Printers,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=erma2-240-minoltaC558 Group,OU=MBRCC Printers,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"VP Facilities Folder RW Group","VP Facilities Folder RW Group","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-79635","","OU=VP,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=VP Facilities Folder RW Group,OU=VP,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Anderson Lab Share Group","Anderson Lab Share Group","File Share","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-78166","","OU=PHYSIO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Anderson Lab Share Group,OU=PHYSIO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"stc-rx3 Group","stc-rx3 Group",,"Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-78074","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=stc-rx3 Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MBRCC My Docs Redirect CTRU","MBRCC My Docs Redirect CTRU","Policy Group","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-78167","","OU=MBRCC Administrative,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=MBRCC My Docs Redirect CTRU,OU=MBRCC Administrative,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g110h-minoltac258 Group","g110h-minoltac258 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-79629","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=g110h-minoltac258 Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"MBRCC AMIF Admin","MBRCC AMIF Admin",,"Security","Universal","S-1-5-21-865322659-4255640127-3857865232-42569","","OU=MBRCC MIF,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=MBRCC AMIF Admin,OU=MBRCC MIF,OU=MBRCC Group,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS CTSI VDI Research Group","HS CTSI VDI Research Group","Group maps R drive for users","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-75319","","OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS CTSI VDI Research Group,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"NurkiewiczLab Share Group","NurkiewiczLab Share Group","File Share","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-82913","","OU=PHYSIO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=NurkiewiczLab Share Group,OU=PHYSIO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"WVUH App-EpicReg","WVUH App-EpicReg","WVUH Applications","Security","Global","S-1-5-21-865322659-4255640127-3857865232-58333","","OU=WVUH,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=WVUH App-EpicReg,OU=WVUH,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"stc-4512-03-c3110 Group","stc-4512-03-c3110 Group","Printer","Security","DomainLocal","S-1-5-21-865322659-4255640127-3857865232-78171","","OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=stc-4512-03-c3110 Group,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"Vidyo Admins","Vidyo Admins","Application Role","Security","Global","S-1-5-21-865322659-4255640127-3857865232-82838","","OU=Classroom Technology,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=Vidyo Admins,OU=Classroom Technology,OU=Support Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS OBGYN New Scheduling Share Group","HS OBGYN New Scheduling Share Group","File Share","Security","Global","S-1-5-21-865322659-4255640127-3857865232-82882","","OU=OBGYN,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS OBGYN New Scheduling Share Group,OU=OBGYN,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"HS CTSI WVU Medicaid Claims Analysis Group","HS CTSI WVU Medicaid Claims Analysis Group","VDI Projects","Security","Universal","S-1-5-21-865322659-4255640127-3857865232-67370","","OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=HS CTSI WVU Medicaid Claims Analysis Group,OU=CTSI Researchers,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
